"Labour force characteristics by industry, annual" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"Geography 2","North American Industry Classification System (NAICS) 3","Sex","Age group","Reference period","Labour force 4","Employment 5","Unemployment 6","Unemployment rate 7"
"",,,,,"Persons",,,"Percentage"
,,,,"2019","2,359.3 (x 1,000)","2,215.1 (x 1,000)","144.1 (x 1,000)","6.1"
,,,,"2020","2,199.0 (x 1,000)","1,878.9 (x 1,000)","320.0 (x 1,000)","14.6"
,,,"25 to 54 years","2010","9,221.8 (x 1,000)","8,849.7 (x 1,000)","372.1 (x 1,000)","4.0"
,,,,"2011","9,255.4 (x 1,000)","8,927.0 (x 1,000)","328.4 (x 1,000)","3.5"
,,,,"2012","9,300.1 (x 1,000)","8,977.2 (x 1,000)","322.9 (x 1,000)","3.5"
,,,,"2013","9,362.8 (x 1,000)","9,051.8 (x 1,000)","311.0 (x 1,000)","3.3"
,,,,"2014","9,370.5 (x 1,000)","9,061.3 (x 1,000)","309.2 (x 1,000)","3.3"
,,,,"2015","9,435.5 (x 1,000)","9,127.7 (x 1,000)","307.7 (x 1,000)","3.3"
,,,,"2016","9,486.8 (x 1,000)","9,157.9 (x 1,000)","328.9 (x 1,000)","3.5"
,,,,"2017","9,619.1 (x 1,000)","9,328.1 (x 1,000)","291.1 (x 1,000)","3.0"
,,,,"2018","9,693.8 (x 1,000)","9,423.8 (x 1,000)","270.0 (x 1,000)","2.8"
,,,,"2019","9,902.1 (x 1,000)","9,630.7 (x 1,000)","271.4 (x 1,000)","2.7"
,,,,"2020","9,858.9 (x 1,000)","9,284.6 (x 1,000)","574.3 (x 1,000)","5.8"
,,,"55 years and over","2010","2,322.6 (x 1,000)","2,244.6 (x 1,000)","78.0 (x 1,000)","3.4"
,,,,"2011","2,426.8 (x 1,000)","2,343.9 (x 1,000)","82.8 (x 1,000)","3.4"
,,,,"2012","2,539.8 (x 1,000)","2,457.8 (x 1,000)","82.0 (x 1,000)","3.2"
,,,,"2013","2,648.4 (x 1,000)","2,559.5 (x 1,000)","88.9 (x 1,000)","3.4"
,,,,"2014","2,745.4 (x 1,000)","2,657.9 (x 1,000)","87.5 (x 1,000)","3.2"
,,,,"2015","2,822.0 (x 1,000)","2,733.9 (x 1,000)","88.1 (x 1,000)","3.1"
,,,,"2016","2,944.0 (x 1,000)","2,854.4 (x 1,000)","89.6 (x 1,000)","3.0"
,,,,"2017","3,039.5 (x 1,000)","2,954.1 (x 1,000)","85.5 (x 1,000)","2.8"
,,,,"2018","3,138.2 (x 1,000)","3,051.0 (x 1,000)","87.2 (x 1,000)","2.8"
,,,,"2019","3,258.7 (x 1,000)","3,164.9 (x 1,000)","93.8 (x 1,000)","2.9"
,,,,"2020","3,256.6 (x 1,000)","3,065.0 (x 1,000)","191.6 (x 1,000)","5.9"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","534.5","..","534.5",".."
,,,,"2011","546.6","..","546.6",".."
,,,,"2012","534.9","..","534.9",".."
,,,,"2013","515.8","..","515.8",".."
,,,,"2014","505.9","..","505.9",".."
,,,,"2015","488.5","..","488.5",".."
,,,,"2016","505.9","..","505.9",".."
,,,,"2017","502.5","..","502.5",".."
,,,,"2018","463.4","..","463.4",".."
,,,,"2019","428.9","..","428.9",".."
,,,,"2020","481.3","..","481.3",".."
,,,"15 to 24 years (x 1,000)","2010","165.8","..","165.8",".."
,,,,"2011","173.1","..","173.1",".."
,,,,"2012","171.6","..","171.6",".."
,,,,"2013","166.2","..","166.2",".."
,,,,"2014","163.9","..","163.9",".."
,,,,"2015","153.6","..","153.6",".."
,,,,"2016","158.7","..","158.7",".."
,,,,"2017","143.0","..","143.0",".."
,,,,"2018","136.2","..","136.2",".."
,,,,"2019","136.4","..","136.4",".."
,,,,"2020","185.3","..","185.3",".."
,,,"25 to 54 years (x 1,000)","2010","293.8","..","293.8",".."
,,,,"2011","291.8","..","291.8",".."
,,,,"2012","283.4","..","283.4",".."
,,,,"2013","272.3","..","272.3",".."
,,,,"2014","264.4","..","264.4",".."
,,,,"2015","255.7","..","255.7",".."
,,,,"2016","252.5","..","252.5",".."
,,,,"2017","261.3","..","261.3",".."
,,,,"2018","243.5","..","243.5",".."
,,,,"2019","213.4","..","213.4",".."
,,,,"2020","222.0","..","222.0",".."
,,,"55 years and over (x 1,000)","2010","74.8","..","74.8",".."
,,,,"2011","81.7","..","81.7",".."
,,,,"2012","79.9","..","79.9",".."
,,,,"2013","77.3","..","77.3",".."
,,,,"2014","77.6","..","77.6",".."
,,,,"2015","79.1","..","79.1",".."
,,,,"2016","94.7","..","94.7",".."
,,,,"2017","98.2","..","98.2",".."
,,,,"2018","83.7","..","83.7",".."
,,,,"2019","79.2","..","79.2",".."
,,,,"2020","74.0","..","74.0",".."
"Newfoundland and Labrador","Total, all industries 8","Both sexes","15 years and over","2010","261.0 (x 1,000)","222.0 (x 1,000)","39.0 (x 1,000)","14.9"
,,,,"2011","265.0 (x 1,000)","231.0 (x 1,000)","34.0 (x 1,000)","12.8"
,,,,"2012","272.9 (x 1,000)","238.7 (x 1,000)","34.2 (x 1,000)","12.5"
,,,,"2013","273.1 (x 1,000)","240.5 (x 1,000)","32.6 (x 1,000)","11.9"
,,,,"2014","271.4 (x 1,000)","238.2 (x 1,000)","33.2 (x 1,000)","12.2"
,,,,"2015","272.3 (x 1,000)","236.6 (x 1,000)","35.7 (x 1,000)","13.1"
,,,,"2016","269.3 (x 1,000)","231.6 (x 1,000)","37.7 (x 1,000)","14.0"
,,,,"2017","262.7 (x 1,000)","223.1 (x 1,000)","39.6 (x 1,000)","15.1"
,,,,"2018","261.3 (x 1,000)","224.4 (x 1,000)","36.9 (x 1,000)","14.1"
,,,,"2019","258.8 (x 1,000)","227.0 (x 1,000)","31.8 (x 1,000)","12.3"
,,,,"2020","249.1 (x 1,000)","214.0 (x 1,000)","35.0 (x 1,000)","14.1"
,,,"15 to 24 years","2010","36.7 (x 1,000)","28.9 (x 1,000)","7.8 (x 1,000)","21.3"
,,,,"2011","37.1 (x 1,000)","29.6 (x 1,000)","7.5 (x 1,000)","20.2"
,,,,"2012","37.7 (x 1,000)","30.6 (x 1,000)","7.2 (x 1,000)","19.1"
,,,,"2013","36.6 (x 1,000)","30.6 (x 1,000)","5.9 (x 1,000)","16.1"
,,,,"2014","35.9 (x 1,000)","30.1 (x 1,000)","5.7 (x 1,000)","15.9"
,,,,"2015","37.4 (x 1,000)","31.3 (x 1,000)","6.1 (x 1,000)","16.3"
,,,,"2016","36.0 (x 1,000)","29.8 (x 1,000)","6.2 (x 1,000)","17.2"
,,,,"2017","34.8 (x 1,000)","28.7 (x 1,000)","6.2 (x 1,000)","17.8"
,,,,"2018","33.1 (x 1,000)","26.9 (x 1,000)","6.2 (x 1,000)","18.7"
,,,,"2019","33.4 (x 1,000)","27.1 (x 1,000)","6.3 (x 1,000)","18.9"
,,,,"2020","32.7 (x 1,000)","26.4 (x 1,000)","6.3 (x 1,000)","19.3"
,,,"25 to 54 years","2010","180.1 (x 1,000)","156.7 (x 1,000)","23.5 (x 1,000)","13.0"
,,,,"2011","180.4 (x 1,000)","160.9 (x 1,000)","19.5 (x 1,000)","10.8"
,,,,"2012","183.0 (x 1,000)","163.6 (x 1,000)","19.4 (x 1,000)","10.6"
,,,,"2013","181.6 (x 1,000)","163.3 (x 1,000)","18.3 (x 1,000)","10.1"
,,,,"2014","179.8 (x 1,000)","160.8 (x 1,000)","18.9 (x 1,000)","10.5"
,,,,"2015","176.9 (x 1,000)","156.9 (x 1,000)","20.0 (x 1,000)","11.3"
,,,,"2016","175.8 (x 1,000)","153.9 (x 1,000)","21.9 (x 1,000)","12.5"
,,,,"2017","170.9 (x 1,000)","148.1 (x 1,000)","22.8 (x 1,000)","13.3"
,,,,"2018","167.9 (x 1,000)","147.5 (x 1,000)","20.4 (x 1,000)","12.2"
,,,,"2019","163.4 (x 1,000)","146.9 (x 1,000)","16.5 (x 1,000)","10.1"
,,,,"2020","159.8 (x 1,000)","141.4 (x 1,000)","18.4 (x 1,000)","11.5"
,,,"55 years and over","2010","44.2 (x 1,000)","36.5 (x 1,000)","7.7 (x 1,000)","17.4"
,,,,"2011","47.6 (x 1,000)","40.5 (x 1,000)","7.1 (x 1,000)","14.9"
,,,,"2012","52.1 (x 1,000)","44.5 (x 1,000)","7.6 (x 1,000)","14.6"
,,,,"2013","54.9 (x 1,000)","46.5 (x 1,000)","8.3 (x 1,000)","15.1"
,,,,"2014","55.8 (x 1,000)","47.2 (x 1,000)","8.5 (x 1,000)","15.2"
,,,,"2015","58.0 (x 1,000)","48.4 (x 1,000)","9.6 (x 1,000)","16.6"
,,,,"2016","57.5 (x 1,000)","47.8 (x 1,000)","9.6 (x 1,000)","16.7"
,,,,"2017","56.9 (x 1,000)","46.3 (x 1,000)","10.6 (x 1,000)","18.6"
,,,,"2018","60.3 (x 1,000)","50.0 (x 1,000)","10.3 (x 1,000)","17.1"
,,,,"2019","62.0 (x 1,000)","53.0 (x 1,000)","9.0 (x 1,000)","14.5"
,,,,"2020","56.5 (x 1,000)","46.3 (x 1,000)","10.3 (x 1,000)","18.2"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","61.7 (x 1,000)","47.1 (x 1,000)","14.6 (x 1,000)","23.7"
,,,,"2011","63.6 (x 1,000)","51.4 (x 1,000)","12.3 (x 1,000)","19.3"
,,,,"2012","65.4 (x 1,000)","53.9 (x 1,000)","11.5 (x 1,000)","17.6"
,,,,"2013","68.0 (x 1,000)","55.8 (x 1,000)","12.2 (x 1,000)","17.9"
,,,,"2014","68.7 (x 1,000)","55.4 (x 1,000)","13.3 (x 1,000)","19.4"
,,,,"2015","70.9 (x 1,000)","55.3 (x 1,000)","15.6 (x 1,000)","22.0"
,,,,"2016","66.9 (x 1,000)","50.8 (x 1,000)","16.1 (x 1,000)","24.1"
,,,,"2017","62.7 (x 1,000)","47.2 (x 1,000)","15.6 (x 1,000)","24.9"
,,,,"2018","61.5 (x 1,000)","47.2 (x 1,000)","14.3 (x 1,000)","23.3"
,,,,"2019","58.9 (x 1,000)","47.1 (x 1,000)","11.8 (x 1,000)","20.0"
,,,,"2020","53.5 (x 1,000)","41.2 (x 1,000)","12.3 (x 1,000)","23.0"
,,,"15 to 24 years","2010","5.5 (x 1,000)","3.5 (x 1,000)","2.0 (x 1,000)","36.4"
,,,,"2011","5.9 (x 1,000)","4.2 (x 1,000)","1.6 (x 1,000)","27.1"
,,,,"2012","6.6 (x 1,000)","4.9 (x 1,000)","1.7 (x 1,000)","25.8"
,,,,"2013","6.4 (x 1,000)","5.1 (x 1,000)","1.3 (x 1,000)","20.3"
,,,,"2014","6.2 (x 1,000)","4.6 (x 1,000)","1.7 (x 1,000)","27.4"
,,,,"2015","6.3 (x 1,000)","4.8 (x 1,000)","1.6 (x 1,000)","25.4"
,,,,"2016","5.3 (x 1,000)","3.8 (x 1,000)","1.5 (x 1,000)","28.3"
,,,,"2017","4.8 (x 1,000)","3.7 (x 1,000)","1.1 (x 1,000)","22.9"
,,,,"2018","4.5 (x 1,000)","3.1 (x 1,000)","1.4 (x 1,000)","31.1"
,,,,"2019","3.5 (x 1,000)","2.4 (x 1,000)","1.1 (x 1,000)","31.4"
,,,,"2020","2.8 (x 1,000)","1.9 (x 1,000)","0.9 (x 1,000)","32.1"
,,,"25 to 54 years","2010","44.1 (x 1,000)","34.6 (x 1,000)","9.5 (x 1,000)","21.5"
,,,,"2011","44.5 (x 1,000)","36.6 (x 1,000)","7.8 (x 1,000)","17.5"
,,,,"2012","43.6 (x 1,000)","36.9 (x 1,000)","6.6 (x 1,000)","15.1"
,,,,"2013","45.3 (x 1,000)","38.1 (x 1,000)","7.2 (x 1,000)","15.9"
,,,,"2014","47.6 (x 1,000)","39.3 (x 1,000)","8.3 (x 1,000)","17.4"
,,,,"2015","47.4 (x 1,000)","37.9 (x 1,000)","9.5 (x 1,000)","20.0"
,,,,"2016","46.1 (x 1,000)","35.8 (x 1,000)","10.3 (x 1,000)","22.3"
,,,,"2017","42.3 (x 1,000)","32.2 (x 1,000)","10.0 (x 1,000)","23.6"
,,,,"2018","39.9 (x 1,000)","31.4 (x 1,000)","8.5 (x 1,000)","21.3"
,,,,"2019","38.2 (x 1,000)","31.7 (x 1,000)","6.5 (x 1,000)","17.0"
,,,,"2020","35.5 (x 1,000)","28.0 (x 1,000)","7.6 (x 1,000)","21.4"
,,,"55 years and over","2010","12.2 (x 1,000)","9.0 (x 1,000)","3.2 (x 1,000)","26.2"
,,,,"2011","13.3 (x 1,000)","10.5 (x 1,000)","2.8 (x 1,000)","21.1"
,,,,"2012","15.3 (x 1,000)","12.1 (x 1,000)","3.2 (x 1,000)","20.9"
,,,,"2013","16.3 (x 1,000)","12.6 (x 1,000)","3.7 (x 1,000)","22.7"
,,,,"2014","14.9 (x 1,000)","11.5 (x 1,000)","3.4 (x 1,000)","22.8"
,,,,"2015","17.2 (x 1,000)","12.7 (x 1,000)","4.5 (x 1,000)","26.2"
,,,,"2016","15.6 (x 1,000)","11.2 (x 1,000)","4.4 (x 1,000)","28.2"
,,,,"2017","15.7 (x 1,000)","11.2 (x 1,000)","4.5 (x 1,000)","28.7"
,,,,"2018","17.2 (x 1,000)","12.7 (x 1,000)","4.4 (x 1,000)","25.6"
,,,,"2019","17.2 (x 1,000)","13.0 (x 1,000)","4.2 (x 1,000)","24.4"
,,,,"2020","15.1 (x 1,000)","11.3 (x 1,000)","3.9 (x 1,000)","25.8"
,"Services-producing sector 10","Both sexes","15 years and over","2010","191.7 (x 1,000)","175.0 (x 1,000)","16.8 (x 1,000)","8.8"
,,,,"2011","193.7 (x 1,000)","179.7 (x 1,000)","14.0 (x 1,000)","7.2"
,,,,"2012","199.3 (x 1,000)","184.7 (x 1,000)","14.6 (x 1,000)","7.3"
,,,,"2013","197.6 (x 1,000)","184.7 (x 1,000)","12.9 (x 1,000)","6.5"
,,,,"2014","196.0 (x 1,000)","182.9 (x 1,000)","13.1 (x 1,000)","6.7"
,,,,"2015","194.6 (x 1,000)","181.3 (x 1,000)","13.3 (x 1,000)","6.8"
,,,,"2016","193.8 (x 1,000)","180.8 (x 1,000)","13.0 (x 1,000)","6.7"
,,,,"2017","190.8 (x 1,000)","175.9 (x 1,000)","14.8 (x 1,000)","7.8"
,,,,"2018","191.5 (x 1,000)","177.2 (x 1,000)","14.2 (x 1,000)","7.4"
,,,,"2019","192.6 (x 1,000)","179.9 (x 1,000)","12.7 (x 1,000)","6.6"
,,,,"2020","188.7 (x 1,000)","172.9 (x 1,000)","15.8 (x 1,000)","8.4"
,,,"15 to 24 years","2010","29.3 (x 1,000)","25.4 (x 1,000)","3.9 (x 1,000)","13.3"
,,,,"2011","29.0 (x 1,000)","25.4 (x 1,000)","3.6 (x 1,000)","12.4"
,,,,"2012","29.0 (x 1,000)","25.6 (x 1,000)","3.4 (x 1,000)","11.7"
,,,,"2013","28.2 (x 1,000)","25.5 (x 1,000)","2.6 (x 1,000)","9.2"
,,,,"2014","27.9 (x 1,000)","25.6 (x 1,000)","2.3 (x 1,000)","8.2"
,,,,"2015","29.2 (x 1,000)","26.5 (x 1,000)","2.6 (x 1,000)","8.9"
,,,,"2016","28.6 (x 1,000)","26.1 (x 1,000)","2.6 (x 1,000)","9.1"
