Geography,Year,Exp. based GDP (2012 chained C$),Exp. based GDP (current C$),Income based GDP,Industry GDP (current C$),Industry GDP (2012 chained C$),CPI (all items),CPI (gasoline),Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate,Population,Exp. based GDP per capita (2012 chained C$),Exp. based GDP per capita (current C$),Income based GDP per capita,Industry GDP per capita (current C$),Industry GDP per capita (2012 chained C$)
Newfoundland and Labrador,2015,-0.011692399940039011,-0.09154252062622081,-0.09154252062622081,-0.09995736961169,-0.010830579932120221,0.004672897196261738,-0.1607038123167156,0.0031313317369681126,-0.006508503044299951,0.07692307692307687,0.06356496240417231,-7.952150772783106e-05,-0.01161380197935502,-0.09147027297251198,-0.09147027297251198,-0.09988579117267693,-0.010751913432759497
Newfoundland and Labrador,2016,0.015046261186106413,0.011488719874201747,0.011488719874201747,0.0027934892340031325,0.015451535415178963,0.027131782945736482,0.04262753319357082,-0.011017260374586835,-0.021344040574809764,0.05602240896358546,0.054055821727567954,0.0024786174275777118,0.012536570396661784,0.008987825066777644,0.008987825066777644,0.00031409328932485714,0.01294084258963113
Newfoundland and Labrador,2017,0.01470368488688334,0.06887908880357885,0.06887908880357885,0.068863514128501,0.012531168083881994,0.024150943396226365,0.09182305630026821,-0.02469365020423331,-0.03649319801338802,0.05039787798408479,0.07430559115042357,-0.002223162443854343,0.016964562308538156,0.07126067530449354,0.07126067530449354,0.07124506592723456,0.014787204886289151
Newfoundland and Labrador,2018,-0.0350484493270109,0.00804392994953984,0.00804392994953984,-1.0,-0.03489928648102547,0.01621223286661766,0.022099447513812098,-0.0051399200456880845,0.005826983415508691,-0.06818181818181823,-0.042806607531107654,-0.005090402442787356,-0.030111325649867182,0.013201533510759145,0.013201533510759145,-1.0,-0.029961399620053397
Newfoundland and Labrador,2019,0.04004517290846388,0.040870410176378824,0.040870410176378824,,0.04036494965422044,0.010152284263959421,-0.04444444444444451,-0.009567546880979716,0.01158645276292325,-0.1382113821138211,-0.10180312759578336,-0.003965294162417199,0.04418567627507697,0.045014198878836176,0.045014198878836176,,0.044506726077741865
Prince Edward Island,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prince Edward Island,2011,0.0212490761271249,0.03842477537755684,0.03842477537755684,0.03771366175297142,0.019259528717513463,0.029288702928870203,0.1763140385894877,0.03065134099616862,0.03391053391053389,0.005555555555555536,-0.0394410027915052,0.01630028096629821,0.0048694222106495655,0.02176964311199714,0.02176964311199714,0.021069934927414824,0.0029117848402067104
Prince Edward Island,2012,0.010674868825764516,0.028350515463917425,0.028350515463917425,0.0301307215994171,0.009358580350946832,0.020325203252032464,0.04242081447963808,0.013630731102850069,0.011863224005582707,0.02209944751381232,0.06376479916611832,0.003938511978772263,0.0067099297084587395,0.024316233707410095,0.024316233707410095,0.02608945598572543,0.0053988051135633874
Prince Edward Island,2013,0.01754385964912286,0.03222341568206222,0.03222341568206222,0.03266741312589638,0.01899542302630275,0.019920318725099584,0.04286489419424844,0.014058679706601795,0.010344827586206806,0.04864864864864882,0.023150877678855153,-0.0030166747388085113,0.020622746506361977,0.03534671997812855,0.03534671997812855,0.03579206087058284,0.02207870202778439
Prince Edward Island,2014,0.001055594651653724,0.015955601803676833,0.015955601803676833,0.014266692029674788,0.003508501368701289,0.016406249999999956,0.015608740894901052,-0.01627486437613046,-0.004778156996586902,-0.097938144329897,-0.060005295965228744,0.0013116437880826837,-0.000255713731102003,0.014624775519631594,0.014624775519631594,0.012938078091833338,0.0021939798605632443
Prince Edward Island,2015,0.014059753954305698,0.0392625469443495,0.0392625469443495,0.04122280570142545,0.014426771169509633,-0.006149116064565585,-0.19313524590163933,-0.011029411764705732,-0.010973936899863035,-0.02857142857142858,-0.0477282562805732,0.0018228065676482164,0.012214682383387299,0.037371619143881984,0.037371619143881984,0.03932831122977287,0.012581031814442145
Prince Edward Island,2016,0.021490467937608226,0.047306176084099816,0.047306176084099816,0.04531863539752856,0.021417615088908715,0.011600928074245953,-0.06603174603174611,-0.012391573729863548,-0.01386962552011095,0.0235294117647058,0.037200109287712335,0.016762829825799352,0.004649696048211194,0.030039794298473366,0.030039794298473366,0.028085021141677435,0.004578044285811211
Prince Edward Island,2017,0.04682728198167618,0.06493099121706392,0.06493099121706392,0.060843643381466084,0.04488486781119061,0.0183486238532109,0.10129163834126453,0.024466750313675956,0.03516174402250383,-0.06896551724137923,-0.11296068210493271,0.023358667474093098,0.02293293177992961,0.0406234149025988,0.0406234149025988,0.03662936280189544,0.021034854173102024
Prince Edward Island,2018,0.024959481361426228,0.03578792341678949,0.03578792341678949,-1.0,0.026118277471211426,0.023273273273273443,0.11358024691358026,0.037354562155542226,0.040760869565217295,-0.006172839506172978,-0.03328860991070082,0.019906650177524243,0.004954209469094639,0.015571300801402455,0.015571300801402455,-1.0,0.006090388068953345
Prince Edward Island,2019,0.05060088551549646,0.06967154841461687,0.06967154841461687,,0.05078591067074756,0.011738811445341168,-0.05266075388026603,0.02479338842975176,0.03394255874673635,-0.055900621118012306,-0.09458865246576986,0.025202743226681257,0.024773775193849046,0.0433756205606477,0.0433756205606477,,0.02495425184246658
Nova Scotia,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,2011,0.006596236728687144,0.021938734053790432,0.021938734053790432,0.020005358578190524,0.0031155341512691948,0.038071065989847774,0.18131101813110173,-0.0029136943635084123,0.0025566918630504087,-0.053291536050156796,-0.0015262077357364179,0.0023001633572408142,0.004286214378192321,0.019593502440196753,0.019593502440196753,0.017664563838486913,0.0008134996120297
Nova Scotia,2012,-0.00965981776884317,0.005353687948901342,0.005353687948901342,0.006272071914309896,-0.009403767253168938,0.019559902200488866,0.04368358913813464,0.007557436517533267,0.006985253354030219,0.013245033112582849,0.02693848882713934,-0.0006767103616110992,-0.008989190485576115,0.006034481906945999,0.006034481906945999,0.006953487773146527,-0.008732966580530466
Nova Scotia,2013,-0.0033480083304774366,0.020878918092426035,0.020878918092426035,0.018727938766572194,-0.0027292845561939227,0.011990407673860837,-0.0011312217194571206,-0.012301230123012208,-0.011231006386258624,-0.023965141612200425,-0.01427175140148107,-0.0033922014338171325,4.434352551063725e-05,0.024353732291842567,0.024353732291842567,0.022195431575202873,0.0006651732793749865
Nova Scotia,2014,0.009707453843305291,0.028741123305358274,0.028741123305358274,0.032305913972372036,0.010568930717372638,0.01737756714060046,0.001698754246885592,-0.016200891049007682,-0.014699331848552433,-0.031249999999999778,-0.01005876569412778,-0.002008647071458536,0.011739681792215517,0.030811660127699092,0.030811660127699092,0.034383625612723456,0.012602892552047829
Nova Scotia,2015,0.006706310743195498,0.02166273407299557,0.02166273407299557,0.021231000901862362,0.007661048947829041,0.0038819875776396895,-0.19106840022611649,-0.009263071222725405,-0.006894213381555159,-0.032258064516129115,-0.04672257973505889,-0.0021522676057088574,0.008877685503827948,0.023866368490472523,0.023866368490472523,0.023433704109808495,0.009834482992701954
Nova Scotia,2016,0.015847406906242645,0.022063339967076878,0.022063339967076878,0.02072480089445583,0.013586226987381878,0.01237432327919552,-0.06289308176100628,-0.003428215250363631,-0.00011380448389664011,-0.03928571428571426,-0.04195759551548439,0.006689623875497208,0.009096928003976323,0.0152715551317546,0.0152715551317546,0.013941910879071928,0.006850774010498384
Nova Scotia,2017,0.018417951739330807,0.041226952570975195,0.041226952570975195,0.04057625907846174,0.02042035441868073,0.011459129106187849,0.09395973154362403,0.00865214218701138,0.00705668108354196,0.026022304832713727,0.05132642644632868,0.007762067904835579,0.010573809209398988,0.03320712867841302,0.03320712867841302,0.032561447010847955,0.012560788818100743
Nova Scotia,2018,0.01858792162386491,0.036085330378168745,0.036085330378168745,-1.0,0.018934770722763172,0.021903323262839836,0.09338786639400154,0.008887970235634812,0.01876130198915016,-0.09661835748792258,-0.0962347240999154,0.00873374395331905,0.009768858957693416,0.027114772940633802,0.027114772940633802,-1.0,0.010112704993356925
Nova Scotia,2019,0.023631963650730947,0.038081868217572534,0.038081868217572534,,0.02462363988671923,0.016260162601625883,-0.04052369077306728,0.02028272894898575,0.02329709341025077,-0.018716577540107027,-0.06901684439051159,0.01183318969205116,0.011660789623110457,0.025941705404534332,0.025941705404534332,,0.012640868401006644
New Brunswick,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
