Geography,Year,Exp. based GDP (2012 chained C$),Exp. based GDP (current C$),Income based GDP,Industry GDP (current C$),Industry GDP (2012 chained C$),CPI (all items),CPI (gasoline),Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate,Population,Exp. based GDP per capita (2012 chained C$),Exp. based GDP per capita (current C$),Income based GDP per capita,Industry GDP per capita (current C$),Industry GDP per capita (2012 chained C$)
New Brunswick,2010,32050.0,30269.0,30269.0,27752.9,29404.4,115.9,136.4,788.0,714.9000000000001,73.0,0.4276573783719837,753035.0,42561.10273758855,40196.00682571195,40196.00682571195,36854.72786789459,39047.85302143991
New Brunswick,2011,32136.0,31561.0,31561.0,28908.5,29467.6,120.0,164.8,783.8,709.1,74.8,0.44259340798755714,755705.0,42524.53007456614,41763.65116017494,41763.65116017494,38253.683646396414,38993.5226047201
New Brunswick,2012,31796.0,31797.0,31797.0,29117.4,29117.4,122.0,172.1,786.7,706.2,80.6,0.46382567759015303,758378.0,41926.32170237006,41927.64030602154,41927.64030602154,38394.30996152315,38394.30996152315
New Brunswick,2013,31710.0,31891.0,31891.0,29166.0,29017.0,123.0,170.8,791.5,709.5,81.89999999999999,0.4638924350219675,758544.0,41803.771435803326,42042.38646670464,42042.38646670464,38449.977852306525,38253.5489042165
New Brunswick,2014,31747.0,32462.0,32462.0,29650.0,29039.6,124.8,172.3,788.4,708.9999999999999,79.5,0.46246565315281934,758976.0,41828.72712707648,42770.78590100346,42770.78590100346,39065.79391179694,38261.552407454255
New Brunswick,2015,31954.0,33453.0,33453.0,30602.6,29275.7,125.4,141.0,785.0,706.3,78.8,0.4641479509442742,758842.0,42108.89750435532,44084.27577809346,44084.27577809346,40328.026124015276,38579.44077950351
New Brunswick,2016,32213.0,34330.0,34330.0,31222.1,29546.0,128.2,133.3,783.1,707.3000000000001,75.80000000000001,0.4410419819974105,763350.0,42199.51529442589,44972.81718739766,44972.81718739766,40901.42136634571,38705.70511560883
New Brunswick,2017,33014.0,35828.0,35828.0,32456.4,30243.0,131.2,147.2,775.9,712.6,63.4,0.3747777976743545,766621.0,43064.304265080136,46734.95769095811,46734.95769095811,42336.95659263182,39449.74113675467
New Brunswick,2018,33176.0,37105.0,37105.0,0.0,30381.6,134.0,162.2,779.5,716.8,62.7,0.36094982319271235,770301.0,43068.878269663415,48169.4817999717,48169.4817999717,0.0,39441.20545085622
New Brunswick,2019,33568.0,38236.0,38236.0,0.0,30720.8,136.3,159.2,786.0,722.2,63.8,0.369438232387148,776868.0,43209.399795074576,49218.142593078876,49218.142593078876,0.0,39544.42710988224
Quebec,2010,344934.0,329129.0,329129.0,306664.5,317802.1,114.8,147.6,8532.0,7840.199999999999,691.8,0.36094901353522346,7929222.0,43501.619704934485,41508.35983656404,41508.35983656404,38675.23194583277,40079.859032828186
Quebec,2011,351401.0,345763.0,345763.0,321047.4,324565.7,118.3,178.4,8605.6,7927.099999999999,678.6,0.3549126295291115,8005090.0,43897.195409420754,43192.893521496946,43192.893521496946,40105.40793420187,40544.91579732395
Quebec,2012,355254.0,355253.0,355253.0,328855.5,328854.6,120.8,187.1,8642.2,7967.799999999999,674.4,0.3496100186852478,8061101.0,44070.15865450638,44070.03460197311,44070.03460197311,40795.35785496299,40795.24620768304
Quebec,2013,359993.0,365802.0,365802.0,338213.8,333047.8,121.7,187.6,8720.0,8052.8,667.2,0.3455625254598796,8110880.0,44383.96326909041,45100.16175803365,45100.16175803365,41698.779910441284,41061.85765293038
Quebec,2014,365719.0,376878.0,376878.0,348098.5,338319.0,123.4,186.5,8686.5,8010.0,676.5999999999999,0.3473253033758823,8150183.0,44872.48936618969,46241.66107681263,46241.66107681263,42710.51337129485,41510.60166379086
Quebec,2015,368982.0,387667.0,387667.0,357758.8,341688.0,124.7,155.3,8737.5,8069.2,668.3000000000001,0.34238750866445783,8175272.0,45133.911140815864,47419.46200689102,47419.46200689102,43761.08831608293,41795.306627106715
Quebec,2016,374899.0,399225.0,399225.0,368634.6,347197.7,125.6,144.1,8740.0,8113.299999999999,626.5999999999999,0.32349325626844483,8225950.0,45575.16153149484,48532.388356360054,48532.388356360054,44813.62031133182,42207.61127894043
Quebec,2017,385620.0,418674.0,418674.0,386407.5,357097.0,126.9,159.2,8856.7,8317.2,539.4000000000001,0.2716151270236509,8302063.0,46448.695944610394,50430.11598442459,50430.11598442459,46543.5518858385,43013.04386632575
Quebec,2018,396838.0,441388.0,441388.0,0.0,367980.1,129.0,178.0,8934.4,8443.499999999998,491.0,0.24990800078064485,8401738.0,47232.846346791586,52535.32066817604,52535.32066817604,0.0,43798.092727956995
Quebec,2019,407590.0,460357.0,460357.0,0.0,377811.3,131.7,168.7,9082.4,8616.1,466.3,0.23239358129579493,8501703.0,47942.15935324958,54148.79818784542,54148.79818784542,0.0,44439.484653839354
Ontario,2010,656103.0,631636.0,631636.0,587627.9,609770.3,116.5,149.3,14275.9,13029.199999999999,1246.8,0.39667168164095123,13135778.0,49947.78383130409,48085.16100074164,48085.16100074164,44734.91406447338,46420.569836061484
Ontario,2011,671942.0,660436.0,660436.0,616138.5,625936.9,120.1,181.9,14414.7,13276.4,1138.1999999999998,0.36161750543436094,13261381.0,50669.08190029379,49801.44978867586,49801.44978867586,46461.111403103496,47199.97864475804
Ontario,2012,680792.0,680791.0,680791.0,634945.2,634944.3,121.8,185.0,14477.300000000001,13333.4,1143.8999999999999,0.3681982184300616,13390632.0,50840.916246522196,50840.84156744805,50840.84156744805,47417.119669930435,47417.05245876372
Ontario,2013,690275.0,696192.0,696192.0,649490.1,643937.0,123.0,186.4,14650.2,13536.1,1114.2,0.35322866728998953,13510781.0,51090.68084221038,51528.627397631564,51528.627397631564,48071.98784437406,47660.97533517862
